"recording_id","artist_name","track_name","year","x_coord","y_coord"
1,"Suzanne Vega","Solitude Standing",1987,2.40563563483,-1.55448034664
2,"Janet Jackson ft Carly Simon","Son Of A Gun (Betcha Think This Song Is About You)",2001,3.52014713683,-2.71239794091
3,"Neneh Cherry","Heart",1989,2.5295501863,-2.67256764087
4,"Neneh Cherry","Kisses On The Wind",1989,1.8625329752,-3.05109380124
5,"Junior M.A.F.I.A. Featuring The Notorious B.I.G.","Get Money",1996,6.87958242301,-3.21084422024
6,"Junior M.A.F.I.A.","Player's Anthem",1995,6.53112657743,-5.82490969037
7,"Missy Misdemeanor Elliott Featuring Da Brat","Sock It 2 Me",1997,7.13903555096,-2.9982132453
8,"Nas","If I Ruled The World",1996,6.46305129912,-5.9737806192
9,"Tweet","Oops (Oh My)",2002,3.97619931265,-4.54721620696
10,"Fabolous","Young'n (Holla Back)",2001,7.15616881618,-4.49309534343
11,"Angie Stone","No More Rain (In This Cloud)",1999,2.77484831972,-5.06037736032
12,"Arrested Development","Ease My Mind",1994,5.38434000537,-5.21396613723
13,"Dionne Warwick","Alfie",1967,-0.976142838677,-2.21807973494
14,"Dionne Warwick","I Say A Little Prayer",1967,-1.79986871912,-0.674865327797
15,"Dionne Warwick","Make It Easy On Yourself",1970,-0.432036133523,-1.95205264671
16,"Georgie Fame","In The Meantime",1965,-6.89132498849,2.72373073291
17,"Georgie Fame","Yeh Yeh",1965,-6.01922915612,-3.14494685477
18,"Manfred Mann","Fox On The Run",1969,-4.78882008579,4.77310750925
19,"Chubb Rock","Treat  Em Right",1991,5.03544177811,-4.90771790431
20,"KRS-One","Sound Of Da Police",1994,4.98101503236,-5.69417056567
21,"Elvis Presley","It's Only Love/Beyond The Reef",1971,-8.42638410423,1.02316178496
22,"Red Hot Chili Peppers","Give It Away",1991,4.17300422612,4.71583351438
23,"Red Hot Chili Peppers","Californication",2000,4.91181920175,4.7892984411
24,"Red Hot Chili Peppers","Otherside",2000,4.98297558032,3.97692183092
25,"Red Hot Chili Peppers","Scar Tissue",1999,4.9813054226,3.98077214497
